 Line 1,,,,,,
 Line 2,,,,,,
1,78.9071,0,23.7139,0,1,0
2,78.7194,0,21.2069,0,1,0
3,78.5175,0,18.701,0,1,0
4,78.3215,0,16.1948,0,1,0
5,78.1568,0,13.6862,0,1,0
6,78.048,0,11.173,0,1,0
7,78.0191,0,8.65809,0,1,0
8,78.0931,0,6.14624,0,1,0
9,78.2905,0,3.64237,0.00066337,0.999982,-0.00599812
10,78.6452,-0.0151589,1.1549,0.0201481,0.987256,-0.157861
11,78.9255,-0.413859,-1.30513,0.0343615,0.927429,-0.372417
12,78.9626,-1.34911,-3.63174,0.0266831,0.821938,-0.568952
13,78.7545,-2.76664,-5.68999,-0.00125154,0.701663,-0.712508
14,78.2279,-4.51412,-7.41043,-0.0205535,0.660734,-0.750339
15,77.0769,-6.2822,-8.93246,-0.0445933,0.631819,-0.773832
16,75.4539,-7.83628,-10.1065,-0.0748749,0.607921,-0.790459
17,73.4408,-9.14162,-10.9185,-0.117347,0.586013,-0.801759
18,71.11,-10.069,-11.254,-0.172886,0.570634,-0.8028
19,68.6275,-10.4683,-11.0022,-0.221137,0.56748,-0.793136
20,66.2042,-10.382,-10.2635,-0.24781,0.569988,-0.783392
21,63.8979,-10.0149,-9.26551,-0.249254,0.570221,-0.782765
22,61.6002,-9.63236,-8.25386,-0.209588,0.567371,-0.796344
23,59.1559,-9.66289,-7.63051,-0.1436,0.577111,-0.803942
24,56.7222,-10.3428,-7.68233,-0.092249,0.597667,-0.79642
25,54.5537,-11.4959,-8.295,-0.0489202,0.62779,-0.776844
26,52.8654,-13.0126,-9.41286,-0.0140013,0.672095,-0.740333
27,51.9608,-14.7646,-10.9842,-0.00195078,0.71731,-0.696751
28,51.9161,-16.5292,-12.7991,-0.0109913,0.75767,-0.652545
29,52.6923,-18.0935,-14.6266,-0.041675,0.793175,-0.607566
30,54.2469,-19.2495,-16.2399,-0.0849008,0.814529,-0.573876
31,56.3473,-19.9112,-17.4878,-0.134275,0.823145,-0.551727
32,58.7479,-20.0454,-18.27,-0.218059,0.813234,-0.539538
33,61.1437,-19.3652,-18.2077,-0.290285,0.779424,-0.555188
34,63.1056,-18.013,-17.3335,-0.296643,0.774854,-0.558214
35,64.9958,-16.6061,-16.3834,-0.282356,0.78466,-0.551892
36,67.0389,-15.322,-15.6015,-0.257937,0.798106,-0.544514
37,69.2898,-14.2503,-15.0951,-0.228688,0.809922,-0.540118
38,71.6889,-13.4503,-14.9097,-0.193447,0.819079,-0.540081
39,74.1669,-12.9884,-15.0955,-0.151194,0.823441,-0.546887
40,76.624,-12.9471,-15.7111,-0.105899,0.819752,-0.562843
41,78.8849,-13.3786,-16.7637,-0.0691659,0.808738,-0.584088
42,80.8328,-14.2166,-18.1532,-0.0433899,0.794417,-0.605821
43,82.4274,-15.3557,-19.7597,-0.0251732,0.778301,-0.627386
44,83.655,-16.7249,-21.5061,-0.0122437,0.760076,-0.649719
45,84.4875,-18.2763,-23.3354,-0.00478186,0.741303,-0.671153
46,84.9271,-19.9503,-25.1862,-0.0020798,0.7244,-0.689377
47,85.0249,-21.6975,-27.0212,-0.00233513,0.710712,-0.70348
48,84.8511,-23.4838,-28.8239,-0.00384881,0.700571,-0.713572
49,84.4805,-25.2785,-30.5827,-0.00572288,0.692911,-0.721
50,83.9632,-27.0735,-32.3024,-0.00780434,0.686411,-0.727172
51,83.3223,-28.8648,-33.9851,-0.0101278,0.680414,-0.732758
52,82.5687,-30.6479,-35.6292,-0.0128636,0.674375,-0.738277
